ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,166389520,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,44645993,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,28843477,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,34617223,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,44933614,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,24438841,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,59863080,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,16343579,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,48323617,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4821344,NYQ
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3102606,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,20227904,NMS
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,37466020,NMS
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9277961,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1702714,NMS
ORCL,Oracle Corporation,Technology,Mega-Cap,27594049,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,20489155,NYQ
V,Visa Inc.,Financial Services,Mega-Cap,7502390,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,122528149,NMS
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,7685490,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,23694961,NMS
ARM,Arm Holdings plc,Technology,Mega-Cap,9836884,NMS
LRCX,Lam Research Corporation,Technology,Mega-Cap,9726787,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2532495,NYQ
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,1981238,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3536014,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,6816000,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6637939,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,12053452,NYQ
BAC,Bank of America Corporation,Financial Services,Mega-Cap,37962047,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,38250077,NMS
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,8086222,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,45909012,NMS
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,14907193,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,6257996,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,5943315,NYQ
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,9545731,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1898968,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4476587,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2113679,NYQ
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,11448755,NYQ
IBM,International Business Machines,Technology,Mega-Cap,7707209,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,9510641,NYQ
TXN,Texas Instruments Incorporated,Technology,Mega-Cap,7420380,NMS
