ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,181668703,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,35463034,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,46478962,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,26808268,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,43474803,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,18841083,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,29804355,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,74409434,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4981454,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,28547922,NMS
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3504040,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9853667,NYQ
SPY,State Street SPDR S&P 500 ETF T,N/A,Mega-Cap,80435675,PCX
V,Visa Inc.,Financial Services,Mega-Cap,6988026,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,16702973,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1631545,NMS
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8847978,NYQ
ORCL,Oracle Corporation,Technology,Mega-Cap,26189042,NYQ
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3190157,NYQ
MU,"Micron Technology, Inc.",Technology,Mega-Cap,30021293,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2749354,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12558596,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,39421786,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6262186,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,45088391,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,37847362,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4512537,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,46204413,NMS
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,10623093,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,9754321,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,16709365,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,4946404,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,21234037,NMS
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1714208,NYQ
LRCX,Lam Research Corporation,Technology,Mega-Cap,11641170,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2491613,NYQ
AZN,Astrazeneca PLC,Healthcare,Mega-Cap,6478729,NMS
NVS,Novartis AG,Healthcare,Mega-Cap,1640150,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,5889022,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2166231,NYQ
NVO,Novo Nordisk A/S,Healthcare,Mega-Cap,20722470,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,14847813,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5579375,NYQ
IBM,International Business Machines,Technology,Mega-Cap,4250129,NYQ
SAP,SAP  SE,Technology,Mega-Cap,1706360,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,4833324,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,13862350,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,7445127,NMS
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,8528801,NYQ
AXP,American Express Company,Financial Services,Mega-Cap,2651444,NYQ
QQQ,"Invesco QQQ Trust, Series 1",N/A,Mega-Cap,55374372,NGM
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1229250,NYQ
TMO,Thermo Fisher Scientific Inc,Healthcare,Mega-Cap,1908434,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Mega-Cap,3265273,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,98724378,NMS
CRM,"Salesforce, Inc.",Technology,Mega-Cap,8213859,NYQ
SHEL,Shell PLC,Energy,Mega-Cap,4554063,NYQ
KLAC,KLA Corporation,Technology,Large-Cap,1012531,NMS
LIN,Linde plc,Basic Materials,Mega-Cap,2816657,NMS
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Mega-Cap,3685806,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Mega-Cap,5321360,NMS
C,"Citigroup, Inc.",Financial Services,Mega-Cap,13415944,NYQ
PEP,"Pepsico, Inc.",Consumer Defensive,Mega-Cap,7730280,NMS
APH,Amphenol Corporation,Technology,Large-Cap,8830218,NYQ
DIS,Walt Disney Company (The),Communication Services,Mega-Cap,10981652,NYQ
SAN,"Banco Santander, S.A. Sponsored",Financial Services,Large-Cap,3110804,NYQ
BA,Boeing Company (The),Industrials,Large-Cap,8601645,NYQ
GEV,GE Vernova Inc.,Industrials,Large-Cap,3238768,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,8704011,NYQ
AMGN,Amgen Inc.,Healthcare,Large-Cap,2914381,NMS
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,1849639,NMS
ABT,Abbott Laboratories,Healthcare,Large-Cap,7883560,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,3463308,NYQ
ANET,"Arista Networks, Inc.",Technology,Large-Cap,7886067,NYQ
APP,Applovin Corporation,Communication Services,Large-Cap,4431368,NMS
BX,Blackstone Inc.,Financial Services,Large-Cap,4074124,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Large-Cap,9602644,NYQ
BHP,BHP Group Limited,Basic Materials,Large-Cap,3332324,NYQ
SHOP,Shopify Inc.,Technology,Large-Cap,7952278,NMS
TXN,Texas Instruments Incorporated,Technology,Large-Cap,7516470,NMS
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,7247947,NMS
BLK,"BlackRock, Inc.",Financial Services,Large-Cap,656040,NYQ
ACN,Accenture plc,Technology,Large-Cap,3994180,NYQ
UBER,"Uber Technologies, Inc.",Technology,Large-Cap,19574540,NYQ
DHR,Danaher Corporation,Healthcare,Large-Cap,3576978,NYQ
HDB,HDFC Bank Limited,Financial Services,Large-Cap,4413698,NYQ
VZ,Verizon Communications Inc.,Communication Services,Large-Cap,26886532,NYQ
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Large-Cap,5441267,NYQ
T,AT&T Inc.,Communication Services,Large-Cap,44246901,NYQ
QCOM,QUALCOMM Incorporated,Technology,Large-Cap,8967078,NMS
TD,Toronto Dominion Bank (The),Financial Services,Large-Cap,2241378,NYQ
SPGI,S&P Global Inc.,Financial Services,Large-Cap,1535049,NYQ
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1585810,NYQ
UBS,UBS Group AG Registered,Financial Services,Large-Cap,1999044,NYQ
TTE,TotalEnergies SE,Energy,Large-Cap,1203300,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Large-Cap,3060667,NYQ
INTU,Intuit Inc.,Technology,Large-Cap,2113568,NMS
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,8579311,NMS
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,63444259,NYQ
ADI,"Analog Devices, Inc.",Technology,Large-Cap,3765854,NMS
HON,Honeywell International Inc.,Industrials,Large-Cap,4232290,NMS
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,1440927,NYQ
UL,Unilever PLC,Consumer Defensive,Large-Cap,2747287,NYQ
DE,Deere & Company,Industrials,Large-Cap,1435439,NYQ
NEM,Newmont Corporation,Basic Materials,Large-Cap,9270391,NYQ
NOW,"ServiceNow, Inc.",Technology,Large-Cap,10891719,NYQ
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1611519,NYQ
BSX,Boston Scientific Corporation,Healthcare,Large-Cap,9998590,NYQ
COF,Capital One Financial Corporati,Financial Services,Large-Cap,4452263,NYQ
UNP,Union Pacific Corporation,Industrials,Large-Cap,3111280,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,2060018,NYQ
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,1973365,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,4541118,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,1785586,NYQ
ETN,"Eaton Corporation, PLC",Industrials,Large-Cap,2994511,NYQ
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,3720801,NYQ
MDT,Medtronic plc.,Healthcare,Large-Cap,7218736,NYQ
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Large-Cap,4341821,NMS
WELL,Welltower Inc.,Real Estate,Large-Cap,3406729,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Large-Cap,6020775,NMS
COP,ConocoPhillips,Energy,Large-Cap,7685909,NYQ
ADBE,Adobe Inc.,Technology,Large-Cap,4251088,NMS
GLD,SPDR Gold Shares,N/A,Large-Cap,14584045,PCX
ARM,Arm Holdings plc,Technology,Large-Cap,4952727,NMS
PGR,Progressive Corporation (The),Financial Services,Large-Cap,3471260,NYQ
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Large-Cap,1435352,NMS
CB,Chubb Limited,Financial Services,Large-Cap,1670980,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,Large-Cap,2408926,NMS
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3537740,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Large-Cap,1249149,NYQ
PH,Parker-Hannifin Corporation,Industrials,Large-Cap,673001,NYQ
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Large-Cap,540985,NMS
SNY,Sanofi,Healthcare,Large-Cap,2694775,NMS
CMCSA,Comcast Corporation,Communication Services,Large-Cap,39256573,NMS
BMY,Bristol-Myers Squibb Company,Healthcare,Large-Cap,14564496,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,Large-Cap,10418937,NMS
AEM,Agnico Eagle Mines Limited,Basic Materials,Large-Cap,2473522,NYQ
KKR,KKR & Co. Inc.,Financial Services,Large-Cap,4387540,NYQ
MFG,"Mizuho Financial Group, Inc. Sp",Financial Services,Large-Cap,3262526,NYQ
MO,"Altria Group, Inc.",Consumer Defensive,Large-Cap,9666416,NYQ
BN,Brookfield Corporation,Financial Services,Large-Cap,4205457,NYQ
IBN,ICICI Bank Limited,Financial Services,Large-Cap,5981670,NYQ
SPOT,Spotify Technology S.A.,Communication Services,Large-Cap,2106104,NYQ
ENB,Enbridge Inc,Energy,Large-Cap,4392814,NYQ
CEG,Constellation Energy Corporatio,Utilities,Large-Cap,2971504,NMS
MCK,McKesson Corporation,Healthcare,Large-Cap,704068,NYQ
CVNA,Carvana Co.,Consumer Cyclical,Large-Cap,4204483,NYQ
ADP,"Automatic Data Processing, Inc.",Technology,Large-Cap,2317875,NMS
GSK,GSK plc,Healthcare,Large-Cap,4270955,NYQ
CME,CME Group Inc.,Financial Services,Large-Cap,1907404,NMS
ICE,Intercontinental Exchange Inc.,Financial Services,Large-Cap,3311708,NYQ
BMO,Bank Of Montreal,Financial Services,Large-Cap,707619,NYQ
GD,General Dynamics Corporation,Industrials,Large-Cap,1253619,NYQ
SO,Southern Company (The),Utilities,Large-Cap,5927547,NYQ
NOC,Northrop Grumman Corporation,Industrials,Large-Cap,842480,NYQ
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,21243921,NYQ
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Large-Cap,21618128,NYQ
BP,BP p.l.c.,Energy,Large-Cap,7915888,NYQ
SNPS,"Synopsys, Inc.",Technology,Large-Cap,2087698,NMS
BNS,Bank Nova Scotia Halifax Pfd 3,Financial Services,Large-Cap,1907390,NYQ
