ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,135569020,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,54390470,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,30215019,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,37048623,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,48102811,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,24443645,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,17881983,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,41456369,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4563774,NYQ
MU,"Micron Technology, Inc.",Technology,Mega-Cap,43346337,NMS
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,2843609,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,8211035,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,24416948,NMS
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,26255970,NMS
V,Visa Inc.,Financial Services,Mega-Cap,7727870,NYQ
XOM,ExxonMobil Holdings Corporation,Energy,Mega-Cap,15569330,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,7847438,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1817106,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3331750,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,114035954,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6404939,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,41034975,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,32527664,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,21939416,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2169235,NMS
CVX,Chevron Corporation,Energy,Mega-Cap,8502433,NYQ
ORCL,Oracle Corporation,Technology,Mega-Cap,31605964,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,17419585,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,10632569,NYQ
LRCX,Lam Research Corporation,Technology,Mega-Cap,11234280,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,3182707,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,5346243,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1341043,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,9453187,NMS
GE,GE Aerospace,Industrials,Mega-Cap,4164290,NYQ
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,9026884,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,41445888,NMS
MS,Morgan Stanley,Financial Services,Mega-Cap,5360669,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4227341,NYQ
NVS,Novartis AG,Healthcare,Mega-Cap,1912972,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,4960383,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2058169,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Mega-Cap,6745001,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12649267,NYQ
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1558724,NYQ
DELL,Dell Technologies Inc.,Technology,Mega-Cap,7647492,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,4914745,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,14635898,NYQ
SHEL,Shell PLC,Energy,Mega-Cap,6389242,NYQ
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Mega-Cap,3120472,NYQ
AZN,AstraZeneca PLC,Healthcare,Mega-Cap,3110288,NYQ
ARM,Arm Holdings plc,Technology,Mega-Cap,6966871,NMS
SAP,SAP  SE,Technology,Mega-Cap,2826466,NYQ
ANET,"Arista Networks, Inc.",Technology,Mega-Cap,7456788,NYQ
GEV,GE Vernova Inc.,Industrials,Mega-Cap,2757055,NYQ
BHP,BHP Group Limited,Basic Materials,Mega-Cap,2721338,NYQ
AMGN,Amgen Inc.,Healthcare,Mega-Cap,2673777,NMS
