ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,175832187,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,32977985,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,45077117,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,36482890,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,53241991,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,25465745,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,15272064,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,62939924,NMS
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,21769212,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4809496,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,10002493,NYQ
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3254359,NYQ
SPY,State Street SPDR S&P 500 ETF T,N/A,Nano-Cap,81435230,PCX
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,22414116,NYQ
V,Visa Inc.,Financial Services,Mega-Cap,7609638,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8256543,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1684396,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,41386891,NMS
ORCL,Oracle Corporation,Technology,Mega-Cap,29858850,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,38896464,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,1910820,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3627346,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,46177911,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2785241,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,12465308,NYQ
BAC,Bank of America Corporation,Financial Services,Mega-Cap,40430391,NYQ
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,7223098,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,23577908,NMS
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,10589724,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,3989687,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,52527420,NMS
INTC,Intel Corporation,Technology,Mega-Cap,104491266,NMS
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,17005938,NYQ
LRCX,Lam Research Corporation,Technology,Mega-Cap,10308650,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,10440377,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,8998862,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,7042840,NMS
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,2301148,NYQ
GEV,GE Vernova Inc.,Industrials,Mega-Cap,2658843,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,7146098,NYQ
AZN,AstraZeneca PLC,Healthcare,Mega-Cap,2164891,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,5948143,NYQ
NVS,Novartis AG,Healthcare,Mega-Cap,2254982,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,10988720,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2314220,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5171367,NYQ
TXN,Texas Instruments Incorporated,Technology,Mega-Cap,7549808,NMS
QQQ,"Invesco QQQ Trust, Series 1",N/A,Nano-Cap,62172229,NGM
SHEL,Shell PLC,Energy,Mega-Cap,7536755,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,17196927,NYQ
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1558325,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,5921356,NYQ
KLAC,KLA Corporation,Technology,Mega-Cap,1017211,NMS
LIN,Linde plc,Basic Materials,Mega-Cap,2577716,NMS
C,"Citigroup, Inc.",Financial Services,Mega-Cap,14158324,NYQ
AXP,American Express Company,Financial Services,Mega-Cap,3701370,NYQ
ANET,"Arista Networks, Inc.",Technology,Mega-Cap,7586304,NYQ
IBM,International Business Machines,Technology,Mega-Cap,6452948,NYQ
ARM,Arm Holdings plc,Technology,Mega-Cap,7565201,NMS
MCD,McDonald's Corporation,Consumer Cyclical,Mega-Cap,3347498,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Mega-Cap,6437854,NMS
PEP,"Pepsico, Inc.",Consumer Defensive,Mega-Cap,7204630,NMS
BHP,BHP Group Limited,Basic Materials,Mega-Cap,3688891,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Mega-Cap,9623356,NYQ
VZ,Verizon Communications Inc.,Communication Services,Mega-Cap,29687593,NYQ
ADI,"Analog Devices, Inc.",Technology,Large-Cap,3971380,NMS
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Large-Cap,3769225,NYQ
TTE,TotalEnergies SE,Energy,Mega-Cap,2131779,NYQ
SAP,SAP  SE,Technology,Mega-Cap,3432048,NYQ
AMGN,Amgen Inc.,Healthcare,Large-Cap,2727145,NMS
T,AT&T Inc.,Communication Services,Large-Cap,41979404,NYQ
APH,Amphenol Corporation,Technology,Large-Cap,9156487,NYQ
BA,Boeing Company (The),Industrials,Large-Cap,6607287,NYQ
DIS,Walt Disney Company (The),Communication Services,Large-Cap,10985400,NYQ
TD,Toronto Dominion Bank (The),Financial Services,Large-Cap,2636259,NYQ
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Large-Cap,4709350,NYQ
TMO,Thermo Fisher Scientific Inc,Healthcare,Large-Cap,2181467,NYQ
SAN,"Banco Santander, S.A. Sponsored",Financial Services,Large-Cap,15331833,NYQ
NVO,Novo Nordisk A/S,Healthcare,Large-Cap,22222343,NYQ
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,1982274,NMS
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,6491622,NMS
ETN,"Eaton Corporation, PLC",Industrials,Large-Cap,2672000,NYQ
BLK,"BlackRock, Inc.",Financial Services,Large-Cap,853314,NYQ
SHOP,Shopify Inc.,Technology,Large-Cap,11384154,NMS
UNP,Union Pacific Corporation,Industrials,Large-Cap,3332895,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,3223314,NYQ
ABT,Abbott Laboratories,Healthcare,Large-Cap,11624969,NYQ
DE,Deere & Company,Industrials,Large-Cap,1534987,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,11507762,NYQ
UBER,"Uber Technologies, Inc.",Technology,Large-Cap,18683270,NYQ
APP,Applovin Corporation,Communication Services,Large-Cap,5592100,NMS
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,40925530,NYQ
COP,ConocoPhillips,Energy,Large-Cap,9758537,NYQ
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1806913,NYQ
WELL,Welltower Inc.,Real Estate,Large-Cap,3104975,NYQ
GLW,Corning Incorporated,Technology,Large-Cap,12384032,NYQ
MRVL,"Marvell Technology, Inc.",Technology,Large-Cap,22836745,NMS
QCOM,QUALCOMM Incorporated,Technology,Large-Cap,13784030,NMS
CRM,"Salesforce, Inc.",Technology,Large-Cap,14149764,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Large-Cap,10792451,NMS
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,2243822,NYQ
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,7088948,NMS
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Large-Cap,2698432,NYQ
DELL,Dell Technologies Inc.,Technology,Large-Cap,8465369,NYQ
WDC,Western Digital Corporation,Technology,Large-Cap,8966598,NMS
SNDK,Sandisk Corporation,Technology,Large-Cap,18741248,NMS
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Large-Cap,10793600,NMS
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,29321438,NYQ
HON,Honeywell International Inc.,Industrials,Large-Cap,3944611,NMS
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3493609,NYQ
STX,Seagate Technology Holdings PLC,Technology,Large-Cap,3905704,NMS
SPGI,S&P Global Inc.,Financial Services,Large-Cap,2693906,NYQ
HDB,HDFC Bank Limited,Financial Services,Large-Cap,9360190,NYQ
CB,Chubb Limited,Financial Services,Large-Cap,1769164,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,2343035,NYQ
UBS,UBS Group AG Registered,Financial Services,Large-Cap,2864377,NYQ
DHR,Danaher Corporation,Healthcare,Large-Cap,4378540,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,2081048,NYQ
UL,Unilever PLC,Consumer Defensive,Large-Cap,4568200,NYQ
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,4900819,NYQ
VRT,"Vertiv Holdings, LLC",Industrials,Large-Cap,7987461,NYQ
PH,Parker-Hannifin Corporation,Industrials,Large-Cap,731267,NYQ
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1619277,NYQ
COF,Capital One Financial Corporati,Financial Services,Large-Cap,5014420,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,5782175,NYQ
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,2239545,NYQ
