ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,176386820,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,48136180,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,34423123,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,33436731,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,48250980,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,15240041,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,65493553,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,31592496,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4930315,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,31006886,NMS
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3216561,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,10967755,NYQ
SPY,State Street SPDR S&P 500 ETF T,N/A,Mega-Cap,82116593,PCX
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,19893755,NYQ
V,Visa Inc.,Financial Services,Mega-Cap,7798386,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8954948,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1686438,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,33870980,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3744038,NYQ
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2621018,NMS
ORCL,Oracle Corporation,Technology,Mega-Cap,28733971,NYQ
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6696733,NYQ
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,11323301,NYQ
BAC,Bank of America Corporation,Financial Services,Mega-Cap,40250981,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4392223,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,10928881,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,5399866,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,51074426,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,11129958,NYQ
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2837785,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,18439090,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,36173168,NMS
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,47538591,NMS
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,2096281,NYQ
NVS,Novartis AG,Healthcare,Mega-Cap,2139401,NYQ
AZN,AstraZeneca PLC,Healthcare,Mega-Cap,3214912,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,22950256,NMS
LRCX,Lam Research Corporation,Technology,Mega-Cap,11735496,NMS
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,13239063,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,7551460,NMS
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5658925,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,6945323,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2426765,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,15980618,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,6000750,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,8888156,NYQ
QQQ,"Invesco QQQ Trust, Series 1",N/A,Mega-Cap,59081091,NGM
SAP,SAP  SE,Technology,Mega-Cap,2602095,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Mega-Cap,3341348,NYQ
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1299841,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Mega-Cap,6233238,NMS
GEV,GE Vernova Inc.,Industrials,Mega-Cap,3162590,NYQ
LIN,Linde plc,Basic Materials,Mega-Cap,2886028,NMS
AXP,American Express Company,Financial Services,Mega-Cap,3369365,NYQ
SHEL,Shell PLC,Energy,Mega-Cap,4715103,NYQ
PEP,"Pepsico, Inc.",Consumer Defensive,Mega-Cap,8593378,NMS
INTC,Intel Corporation,Technology,Mega-Cap,101128976,NMS
IBM,International Business Machines,Technology,Mega-Cap,5459946,NYQ
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Large-Cap,3607361,NYQ
BHP,BHP Group Limited,Basic Materials,Large-Cap,4030438,NYQ
C,"Citigroup, Inc.",Financial Services,Large-Cap,14808301,NYQ
VZ,Verizon Communications Inc.,Communication Services,Mega-Cap,31278408,NYQ
AMGN,Amgen Inc.,Healthcare,Large-Cap,2888240,NMS
ABT,Abbott Laboratories,Healthcare,Large-Cap,9224128,NYQ
KLAC,KLA Corporation,Technology,Large-Cap,1068156,NMS
TMO,Thermo Fisher Scientific Inc,Healthcare,Large-Cap,2224395,NYQ
T,AT&T Inc.,Communication Services,Mega-Cap,43151425,NYQ
TXN,Texas Instruments Incorporated,Technology,Large-Cap,7718875,NMS
NEE,"NextEra Energy, Inc.",Utilities,Large-Cap,10047900,NYQ
SAN,"Banco Santander, S.A. Sponsored",Financial Services,Large-Cap,10289876,NYQ
CRM,"Salesforce, Inc.",Technology,Large-Cap,10995810,NYQ
DIS,Walt Disney Company (The),Communication Services,Large-Cap,11695075,NYQ
APH,Amphenol Corporation,Technology,Large-Cap,9783413,NYQ
BA,Boeing Company (The),Industrials,Large-Cap,7286655,NYQ
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,1907860,NMS
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,7458168,NMS
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1949116,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,10727906,NYQ
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Large-Cap,5251230,NYQ
ADI,"Analog Devices, Inc.",Technology,Large-Cap,3963520,NMS
TTE,TotalEnergies SE,Energy,Large-Cap,1436833,NYQ
BLK,"BlackRock, Inc.",Financial Services,Large-Cap,718761,NYQ
DE,Deere & Company,Industrials,Large-Cap,1617185,NYQ
NVO,Novo Nordisk A/S,Healthcare,Large-Cap,23965568,NYQ
TD,Toronto Dominion Bank (The),Financial Services,Large-Cap,2356048,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,3921430,NYQ
SHOP,Shopify Inc.,Technology,Large-Cap,11073118,NMS
HDB,HDFC Bank Limited,Financial Services,Large-Cap,5759550,NYQ
ANET,"Arista Networks, Inc.",Technology,Large-Cap,7892703,NYQ
HON,Honeywell International Inc.,Industrials,Large-Cap,4284863,NMS
UL,Unilever PLC,Consumer Defensive,Large-Cap,3225059,NYQ
UNP,Union Pacific Corporation,Industrials,Large-Cap,3355768,NYQ
QCOM,QUALCOMM Incorporated,Technology,Large-Cap,9619115,NMS
UBER,"Uber Technologies, Inc.",Technology,Large-Cap,21245963,NYQ
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,2255066,NYQ
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,47368690,NYQ
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,8317915,NMS
APP,Applovin Corporation,Communication Services,Large-Cap,5776713,NMS
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1763588,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Large-Cap,2801675,NYQ
DHR,Danaher Corporation,Healthcare,Large-Cap,3865461,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,1897700,NYQ
ETN,"Eaton Corporation, PLC",Industrials,Large-Cap,2975945,NYQ
WELL,Welltower Inc.,Real Estate,Large-Cap,3440733,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,2154558,NYQ
BX,Blackstone Inc.,Financial Services,Large-Cap,6142910,NYQ
NEM,Newmont Corporation,Basic Materials,Large-Cap,9801671,NYQ
ARM,Arm Holdings plc,Technology,Large-Cap,5953766,NMS
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,4401795,NYQ
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,1949220,NYQ
COP,ConocoPhillips,Energy,Large-Cap,8578330,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,5989936,NYQ
CB,Chubb Limited,Financial Services,Large-Cap,1796440,NYQ
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3416591,NYQ
COF,Capital One Financial Corporati,Financial Services,Large-Cap,5100696,NYQ
SPGI,S&P Global Inc.,Financial Services,Large-Cap,2471936,NYQ
UBS,UBS Group AG Registered,Financial Services,Large-Cap,2412155,NYQ
GLW,Corning Incorporated,Technology,Large-Cap,9375778,NYQ
ACN,Accenture plc,Technology,Large-Cap,5425306,NYQ
PH,Parker-Hannifin Corporation,Industrials,Large-Cap,652078,NYQ
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Large-Cap,4616231,NMS
MDT,Medtronic plc.,Healthcare,Large-Cap,7741936,NYQ
GLD,SPDR Gold Shares,N/A,Large-Cap,18064680,PCX
BMY,Bristol-Myers Squibb Company,Healthcare,Large-Cap,14072541,NYQ
PGR,Progressive Corporation (The),Financial Services,Large-Cap,3453165,NYQ
AEM,Agnico Eagle Mines Limited,Basic Materials,Large-Cap,2799543,NYQ
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Large-Cap,1418761,NMS
PANW,"Palo Alto Networks, Inc.",Technology,Large-Cap,9859218,NMS
MCK,McKesson Corporation,Healthcare,Large-Cap,721066,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Large-Cap,1156091,NYQ
CEG,Constellation Energy Corporatio,Utilities,Large-Cap,3578053,NMS
SNY,Sanofi,Healthcare,Large-Cap,3840238,NMS
MO,"Altria Group, Inc.",Consumer Defensive,Large-Cap,10065028,NYQ
GSK,GSK plc,Healthcare,Large-Cap,5072935,NYQ
NOW,"ServiceNow, Inc.",Technology,Large-Cap,17331370,NYQ
ENB,Enbridge Inc,Energy,Large-Cap,4838395,NYQ
CME,CME Group Inc.,Financial Services,Large-Cap,2118510,NMS
CMCSA,Comcast Corporation,Communication Services,Large-Cap,35575466,NMS
BSX,Boston Scientific Corporation,Healthcare,Large-Cap,14458498,NYQ
IBN,ICICI Bank Limited,Financial Services,Large-Cap,6363198,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,Large-Cap,9369260,NMS
MFG,"Mizuho Financial Group, Inc. Sp",Financial Services,Large-Cap,4323695,NYQ
INTU,Intuit Inc.,Technology,Large-Cap,3542715,NMS
ADBE,Adobe Inc.,Technology,Large-Cap,5206510,NMS
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,23171143,NYQ
BMO,Bank Of Montreal,Financial Services,Large-Cap,791640,NYQ
SO,Southern Company (The),Utilities,Large-Cap,6180746,NYQ
HWM,Howmet Aerospace Inc.,Industrials,Large-Cap,2574645,NYQ
BN,Brookfield Corporation,Financial Services,Large-Cap,5028585,NYQ
SPOT,Spotify Technology S.A.,Communication Services,Large-Cap,2885865,NYQ
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Large-Cap,24000400,NYQ
NOC,Northrop Grumman Corporation,Industrials,Large-Cap,933688,NYQ
