ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,181664229,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,35328359,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,46590713,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,27213203,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,41512196,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,18298054,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,29914786,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,74413947,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4947606,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,28580332,NMS
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3475983,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9923055,NYQ
SPY,State Street SPDR S&P 500 ETF T,N/A,Mega-Cap,80677213,PCX
V,Visa Inc.,Financial Services,Mega-Cap,7051963,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,16857727,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1650937,NMS
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8884967,NYQ
ORCL,Oracle Corporation,Technology,Mega-Cap,26359754,NYQ
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3202301,NYQ
MU,"Micron Technology, Inc.",Technology,Mega-Cap,30589808,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2748391,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12519959,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,39513529,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6193301,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,45000642,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,37769778,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4530783,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,45829631,NMS
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,10700495,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,9948229,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,16868039,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,5002275,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,21274281,NMS
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1721986,NYQ
LRCX,Lam Research Corporation,Technology,Mega-Cap,11783842,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2496922,NYQ
AZN,Astrazeneca PLC,Healthcare,Mega-Cap,6520980,NMS
NVS,Novartis AG,Healthcare,Mega-Cap,1631816,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,5923600,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2175495,NYQ
NVO,Novo Nordisk A/S,Healthcare,Mega-Cap,20592645,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,14905719,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5612816,NYQ
IBM,International Business Machines,Technology,Mega-Cap,4221462,NYQ
SAP,SAP  SE,Technology,Mega-Cap,1776788,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,4880540,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,13971768,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,7498898,NMS
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,8588345,NYQ
AXP,American Express Company,Financial Services,Mega-Cap,2704501,NYQ
QQQ,"Invesco QQQ Trust, Series 1",N/A,Mega-Cap,55365875,NGM
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1232883,NYQ
TMO,Thermo Fisher Scientific Inc,Healthcare,Mega-Cap,1939393,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Mega-Cap,3255454,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,99290155,NMS
CRM,"Salesforce, Inc.",Technology,Mega-Cap,8283208,NYQ
SHEL,Shell PLC,Energy,Mega-Cap,4592852,NYQ
KLAC,KLA Corporation,Technology,Large-Cap,1043767,NMS
LIN,Linde plc,Basic Materials,Mega-Cap,2796057,NMS
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Mega-Cap,3680181,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Mega-Cap,5416068,NMS
C,"Citigroup, Inc.",Financial Services,Mega-Cap,13435724,NYQ
PEP,"Pepsico, Inc.",Consumer Defensive,Mega-Cap,7833978,NMS
APH,Amphenol Corporation,Technology,Large-Cap,8926711,NYQ
DIS,Walt Disney Company (The),Communication Services,Mega-Cap,11132257,NYQ
SAN,"Banco Santander, S.A. Sponsored",Financial Services,Large-Cap,3134550,NYQ
BA,Boeing Company (The),Industrials,Large-Cap,8539836,NYQ
GEV,GE Vernova Inc.,Industrials,Large-Cap,3256454,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,8786973,NYQ
AMGN,Amgen Inc.,Healthcare,Large-Cap,2911690,NMS
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,1848681,NMS
ABT,Abbott Laboratories,Healthcare,Large-Cap,8055457,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,3456947,NYQ
ANET,"Arista Networks, Inc.",Technology,Large-Cap,7888613,NYQ
APP,Applovin Corporation,Communication Services,Large-Cap,4560045,NMS
BX,Blackstone Inc.,Financial Services,Large-Cap,4036475,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Large-Cap,9615719,NYQ
BHP,BHP Group Limited,Basic Materials,Large-Cap,3383095,NYQ
SHOP,Shopify Inc.,Technology,Large-Cap,7994903,NMS
TXN,Texas Instruments Incorporated,Technology,Large-Cap,7522701,NMS
