ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,187223504,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,36608800,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,46317934,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,24828073,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,44876827,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,19005126,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,29513159,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,76725332,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4962740,NYQ
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3559995,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9504454,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,28056240,NMS
V,Visa Inc.,Financial Services,Mega-Cap,6878218,NYQ
SPY,SPDR S&P 500,N/A,Mega-Cap,80823437,PCX
ORCL,Oracle Corporation,Technology,Mega-Cap,25223032,NYQ
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3044563,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,16037998,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8834852,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1485267,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,37896916,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,45826298,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2754398,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6088018,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,46197806,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12654368,NYQ
MU,"Micron Technology, Inc.",Technology,Mega-Cap,28655378,NMS
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4437027,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,4642352,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,41322677,NMS
