ticker,name,sector,cap_tier,avg_volume,exchange
AAPL,Apple Inc.,Technology,Mega-Cap,56842919,NMS
NVDA,NVIDIA Corporation,Technology,Mega-Cap,152403823,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,32508673,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,40187128,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,49476960,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,25862488,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,18174226,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,47436901,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4951014,NYQ
LLY,Eli Lilly and Company,Healthcare,Nano-Cap,3031346,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9333138,NYQ
SKHY,SK hynix Inc.,Technology,Mega-Cap,54803743,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,53445673,NMS
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,22749679,NMS
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,33053466,NMS
V,Visa Inc.,Financial Services,Mega-Cap,8250536,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8247576,NYQ
XOM,ExxonMobil Holdings Corporation,Energy,Nano-Cap,16677455,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1986033,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3722876,NYQ
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,6776644,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,25263000,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,36168309,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,129728738,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2394520,NMS
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,6428803,NYQ
CAT,"Caterpillar, Inc.",Industrials,Nano-Cap,3165106,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,17590555,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,9701741,NMS
GE,GE Aerospace,Industrials,Mega-Cap,4795712,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,9135460,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1547076,NYQ
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,8853447,NYQ
ORCL,Oracle Corporation,Technology,Mega-Cap,30854071,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Nano-Cap,4914058,NYQ
LRCX,Lam Research Corporation,Technology,Mega-Cap,11692231,NMS
MS,Morgan Stanley,Financial Services,Mega-Cap,5942465,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,10067128,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5091598,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Nano-Cap,2169568,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,43648352,NMS
NVS,Novartis AG,Healthcare,Mega-Cap,1817263,NYQ
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,41205874,NMS
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1478217,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,5439590,NYQ
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12612082,NYQ
AZN,AstraZeneca PLC,Healthcare,Mega-Cap,2248817,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,16482692,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Mega-Cap,8000895,NMS
ARM,Arm Holdings plc,Technology,Mega-Cap,10242930,NMS
TXN,Texas Instruments Incorporated,Technology,Mega-Cap,8776000,NMS
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Mega-Cap,3280438,NYQ
KLAC,KLA Corporation,Technology,Mega-Cap,12859953,NMS
DELL,Dell Technologies Inc.,Technology,Mega-Cap,8767117,NYQ
GEV,GE Vernova Inc.,Industrials,Mega-Cap,2855414,NYQ
SHEL,Shell PLC,Energy,Mega-Cap,6999805,NYQ
LIN,Linde plc,Basic Materials,Mega-Cap,2292804,NMS
AXP,American Express Company,Financial Services,Mega-Cap,3153193,NYQ
NVO,Novo Nordisk A/S,Healthcare,Mega-Cap,12739084,NYQ
C,"Citigroup, Inc.",Financial Services,Mega-Cap,12602807,NYQ
TM,Toyota Motor Corporation,Consumer Cyclical,Mega-Cap,511871,NYQ
IBM,International Business Machines,Technology,Mega-Cap,11183226,NYQ
ANET,"Arista Networks, Inc.",Technology,Mega-Cap,9661312,NYQ
SAP,SAP  SE,Technology,Mega-Cap,3257600,NYQ
BHP,BHP Group Limited,Basic Materials,Mega-Cap,2660511,NYQ
TMO,Thermo Fisher Scientific Inc,Healthcare,Mega-Cap,2385706,NYQ
AMGN,Amgen Inc.,Healthcare,Mega-Cap,2719401,NMS
VZ,Verizon Communications Inc.,Communication Services,Large-Cap,27195696,NYQ
SAN,"Banco Santander, S.A. Sponsored",Financial Services,Mega-Cap,8808769,NYQ
TD,Toronto Dominion Bank (The),Financial Services,Large-Cap,2388984,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Large-Cap,5337784,NMS
PEP,"Pepsico, Inc.",Consumer Defensive,Large-Cap,8630831,NMS
MCD,McDonald's Corporation,Consumer Cyclical,Nano-Cap,4553179,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,Large-Cap,11997219,NMS
ABT,Abbott Laboratories,Healthcare,Large-Cap,13123706,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Large-Cap,11632673,NYQ
TTE,TotalEnergies SE,Energy,Large-Cap,1538212,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,10642198,NYQ
ADI,"Analog Devices, Inc.",Technology,Nano-Cap,4775650,NMS
BLK,"BlackRock, Inc.",Financial Services,Large-Cap,763853,NYQ
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Large-Cap,5953392,NYQ
UNP,Union Pacific Corporation,Industrials,Large-Cap,2976574,NYQ
APH,Amphenol Corporation,Technology,Nano-Cap,9624138,NYQ
BA,Boeing Company (The),Industrials,Large-Cap,6374852,NYQ
WELL,Welltower Inc.,Real Estate,Large-Cap,3465938,NYQ
DIS,Walt Disney Company (The),Communication Services,Large-Cap,10468187,NYQ
DE,Deere & Company,Industrials,Large-Cap,1283158,NYQ
QCOM,QUALCOMM Incorporated,Technology,Large-Cap,21655230,NMS
UBS,UBS Group AG Registered,Financial Services,Large-Cap,2081085,NYQ
T,AT&T Inc.,Communication Services,Large-Cap,61952511,NYQ
SHOP,Shopify Inc.,Technology,Large-Cap,10506839,NMS
STX,Seagate Technology Holdings PLC,Technology,Large-Cap,4746819,NMS
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,7552966,NMS
BX,Blackstone Inc.,Financial Services,Large-Cap,5113279,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,1982744,NYQ
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,2026826,NYQ
SNDK,Sandisk Corporation,Technology,Large-Cap,14019747,NMS
WDC,Western Digital Corporation,Technology,Nano-Cap,8459558,NMS
MRVL,"Marvell Technology, Inc.",Technology,Large-Cap,41181265,NMS
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Large-Cap,4871312,NMS
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Large-Cap,7462036,NMS
ETN,"Eaton Corporation, PLC",Industrials,Nano-Cap,2629566,NYQ
CRM,"Salesforce, Inc.",Technology,Nano-Cap,14910477,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,2745041,NYQ
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,1495530,NYQ
UL,Unilever PLC,Consumer Defensive,Large-Cap,4344728,NYQ
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,41315036,NYQ
UBER,"Uber Technologies, Inc.",Technology,Large-Cap,19963376,NYQ
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3893257,NYQ
CB,Chubb Limited,Financial Services,Large-Cap,1781919,NYQ
APP,Applovin Corporation,Communication Services,Large-Cap,5641861,NMS
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1313782,NYQ
DHR,Danaher Corporation,Healthcare,Large-Cap,5213114,NYQ
CVS,CVS Health Corporation,Healthcare,Large-Cap,8274226,NYQ
COP,ConocoPhillips,Energy,Large-Cap,7197147,NYQ
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,4277238,NYQ
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1299779,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,6554655,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,2795919,NYQ
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,2978660,NMS
BMY,Bristol-Myers Squibb Company,Healthcare,Large-Cap,11916009,NYQ
PGR,Progressive Corporation (The),Financial Services,Large-Cap,3294765,NYQ
COF,Capital One Financial Corporati,Financial Services,Large-Cap,4760031,NYQ
BMO,Bank Of Montreal,Financial Services,Large-Cap,815447,NYQ
SPGI,S&P Global Inc.,Financial Services,Large-Cap,2337842,NYQ
MO,"Altria Group, Inc.",Consumer Defensive,Large-Cap,8384941,NYQ
PH,Parker-Hannifin Corporation,Industrials,Large-Cap,712252,NYQ
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Large-Cap,1541947,NMS
MFG,"Mizuho Financial Group, Inc. Sp",Financial Services,Large-Cap,3884288,NYQ
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,8857758,NMS
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Nano-Cap,3093579,NYQ
HDB,HDFC Bank Limited,Financial Services,Large-Cap,9181776,NYQ
ENB,Enbridge Inc,Energy,Nano-Cap,4069147,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,Large-Cap,7746255,NMS
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,15706890,NYQ
NOW,"ServiceNow, Inc.",Technology,Large-Cap,27997290,NYQ
HWM,Howmet Aerospace Inc.,Industrials,Large-Cap,2770465,NYQ
FTNT,"Fortinet, Inc.",Technology,Large-Cap,6366847,NMS
MDT,Medtronic plc.,Healthcare,Large-Cap,9898358,NYQ
SO,Southern Company (The),Utilities,Large-Cap,5850933,NYQ
CM,Canadian Imperial Bank of Comme,Financial Services,Large-Cap,1313514,NYQ
IBN,ICICI Bank Limited,Financial Services,Nano-Cap,7471931,NYQ
SNY,Sanofi,Healthcare,Large-Cap,3369925,NMS
BNS,Bank Nova Scotia Halifax Pfd 3,Financial Services,Large-Cap,2521390,NYQ
GSK,GSK plc,Healthcare,Large-Cap,4011588,NYQ
BP,BP p.l.c.,Energy,Large-Cap,8999407,NYQ
ADP,"Automatic Data Processing, Inc.",Technology,Large-Cap,2759577,NMS
BNY,The Bank of New York Mellon Cor,Financial Services,Large-Cap,3851933,NYQ
GD,General Dynamics Corporation,Industrials,Large-Cap,1252026,NYQ
GLW,Corning Incorporated,Technology,Large-Cap,15542857,NYQ
SPOT,Spotify Technology S.A.,Communication Services,Large-Cap,2006179,NYQ
MCK,McKesson Corporation,Healthcare,Large-Cap,1174465,NYQ
TT,Trane Technologies plc,Industrials,Large-Cap,1380539,NYQ
EQIX,"Equinix, Inc.",Real Estate,Large-Cap,586941,NMS
VRT,"Vertiv Holdings, LLC",Industrials,Large-Cap,6356826,NYQ
DUK,Duke Energy Corporation (Holdin,Utilities,Large-Cap,3590931,NYQ
MAR,Marriott International,Consumer Cyclical,Nano-Cap,1481774,NMS
ACN,Accenture plc,Technology,Large-Cap,8633433,NYQ
PNC,"PNC Financial Services Group, I",Financial Services,Large-Cap,2025698,NYQ
ADBE,Adobe Inc.,Technology,Large-Cap,6436509,NMS
USB,U.S. Bancorp,Financial Services,Large-Cap,8903266,NYQ
WM,"Waste Management, Inc.",Industrials,Large-Cap,2143884,NYQ
NEM,Newmont Corporation,Basic Materials,Large-Cap,7903895,NYQ
KKR,KKR & Co. Inc.,Financial Services,Large-Cap,4517131,NYQ
CDNS,"Cadence Design Systems, Inc.",Technology,Large-Cap,2428423,NMS
MNST,Monster Beverage Corporation,Consumer Defensive,Large-Cap,5839733,NMS
ING,"ING Group, N.V.",Financial Services,Large-Cap,3213557,NYQ
CSX,CSX Corporation,Industrials,Large-Cap,12975849,NMS
BN,Brookfield Corporation,Financial Services,Large-Cap,4358009,NYQ
NET,"Cloudflare, Inc.",Technology,Large-Cap,3968425,NYQ
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Large-Cap,533041,NMS
SNOW,Snowflake Inc.,Technology,Large-Cap,7852228,NYQ
MMM,3M Company,Industrials,Large-Cap,3896119,NYQ
CME,CME Group Inc.,Financial Services,Large-Cap,3356225,NMS
CEG,Constellation Energy Corporatio,Utilities,Large-Cap,3644825,NMS
CNQ,Canadian Natural Resources Limi,Energy,Large-Cap,8353269,NYQ
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Large-Cap,22646698,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Large-Cap,1670004,NYQ
MRSH,Marsh,Financial Services,Large-Cap,2796342,NYQ
EQNR,Equinor ASA,Energy,Large-Cap,3945146,NYQ
BCS,Barclays PLC,Financial Services,Large-Cap,5456277,NYQ
MPC,Marathon Petroleum Corporation,Energy,Large-Cap,2326622,NYQ
SPG,"Simon Property Group, Inc.",Real Estate,Large-Cap,1900225,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,Large-Cap,3823393,NMS
UPS,"United Parcel Service, Inc.",Industrials,Large-Cap,5634561,NYQ
DDOG,"Datadog, Inc.",Technology,Large-Cap,5640134,NMS
VLO,Valero Energy Corporation,Energy,Large-Cap,3012109,NYQ
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Nano-Cap,14524444,NYQ
CMI,Cummins Inc.,Industrials,Large-Cap,1032479,NYQ
PWR,"Quanta Services, Inc.",Industrials,Large-Cap,1292163,NYQ
SHW,Sherwin-Williams Company (The),Basic Materials,Large-Cap,2390439,NYQ
LYG,Lloyds Banking Group Plc,Financial Services,Large-Cap,21325069,NYQ
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Large-Cap,2751450,NYQ
INTU,Intuit Inc.,Technology,Large-Cap,5280653,NMS
ICE,Intercontinental Exchange Inc.,Financial Services,Large-Cap,4467219,NYQ
CTAS,Cintas Corporation,Industrials,Large-Cap,2314911,NMS
WMB,"Williams Companies, Inc. (The)",Energy,Large-Cap,7029974,NYQ
CMCSA,Comcast Corporation,Communication Services,Large-Cap,36182334,NMS
JCI,Johnson Controls International ,Industrials,Large-Cap,4194887,NYQ
ITW,Illinois Tool Works Inc.,Industrials,Large-Cap,1468126,NYQ
EMR,Emerson Electric Company,Industrials,Large-Cap,2867961,NYQ
DASH,"DoorDash, Inc.",Consumer Cyclical,Large-Cap,4808904,NMS
MCO,Moody's Corporation,Financial Services,Large-Cap,1010909,NYQ
ELV,"Elevance Health, Inc.",Healthcare,Large-Cap,1652001,NYQ
EPD,Enterprise Products Partners L.,Energy,Large-Cap,3395755,NYQ
PSX,Phillips 66,Energy,Large-Cap,2543782,NYQ
HOOD,"Robinhood Markets, Inc.",Financial Services,Large-Cap,27098019,NMS
TRV,"The Travelers Companies, Inc.",Financial Services,Large-Cap,1859793,NYQ
NTES,"NetEase, Inc.",Communication Services,Large-Cap,1019253,NMS
NGG,"National Grid Transco, PLC Nati",Utilities,Large-Cap,1258874,NYQ
CP,Canadian Pacific Kansas City Li,Industrials,Large-Cap,2791506,NYQ
AON,Aon plc,Financial Services,Large-Cap,1600423,NYQ
GM,General Motors Company,Consumer Cyclical,Large-Cap,7929061,NYQ
ROST,"Ross Stores, Inc.",Consumer Cyclical,Large-Cap,3108749,NMS
AMT,American Tower Corporation (REI,Real Estate,Large-Cap,3279914,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Large-Cap,8950661,NMS
CI,The Cigna Group,Healthcare,Large-Cap,1665792,NYQ
ECL,Ecolab Inc.,Basic Materials,Large-Cap,1610411,NYQ
HON,Honeywell International Inc.,Industrials,Large-Cap,4584644,NMS
NOC,Northrop Grumman Corporation,Industrials,Large-Cap,970593,NYQ
CNI,Canadian National Railway Compa,Industrials,Large-Cap,1541285,NYQ
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Large-Cap,1428161,NYQ
NSC,Norfolk Southern Corporation,Industrials,Large-Cap,1170004,NYQ
BAM,Brookfield Asset Management Inc,Financial Services,Large-Cap,2832373,NYQ
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Large-Cap,7982706,NMS
SU,Suncor Energy  Inc.,Energy,Nano-Cap,4243974,NYQ
CL,Colgate-Palmolive Company,Consumer Defensive,Large-Cap,5158401,NYQ
EOG,"EOG Resources, Inc.",Energy,Large-Cap,3558744,NYQ
SLB,SLB Limited,Energy,Large-Cap,14132033,NYQ
MFC,Manulife Financial Corporation,Financial Services,Large-Cap,2054063,NYQ
ASX,"ASE Technology Holding Co., Ltd",Technology,Large-Cap,10836166,NYQ
FDX,FedEx Corporation,Industrials,Large-Cap,2044695,NYQ
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Large-Cap,2007171,NYQ
SNPS,"Synopsys, Inc.",Technology,Large-Cap,2001330,NMS
MSI,"Motorola Solutions, Inc.",Technology,Large-Cap,1119728,NYQ
DLR,"Digital Realty Trust, Inc.",Real Estate,Large-Cap,2920830,NYQ
AEP,American Electric Power Company,Utilities,Large-Cap,5050593,NMS
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Large-Cap,1005460,NMS
MDLN,Medline Inc.,Healthcare,Large-Cap,9608757,NMS
PCAR,PACCAR Inc.,Industrials,Large-Cap,3214652,NMS
APO,"Apollo Global Management, Inc. ",Financial Services,Large-Cap,4067847,NYQ
AEM,Agnico Eagle Mines Limited,Basic Materials,Large-Cap,2628507,NYQ
CVNA,Carvana Co.,Consumer Cyclical,Large-Cap,11088073,NYQ
NU,Nu Holdings Ltd.,Financial Services,Large-Cap,73828346,NYQ
KMI,"Kinder Morgan, Inc.",Energy,Large-Cap,10119900,NYQ
TRP,TC Energy Corporation,Energy,Large-Cap,2421873,NYQ
NWG,NatWest Group plc,Financial Services,Large-Cap,4532844,NYQ
ALL,Allstate Corporation (The),Financial Services,Large-Cap,1765247,NYQ
ET,Energy Transfer LP,Energy,Large-Cap,10345274,NYQ
BSX,Boston Scientific Corporation,Healthcare,Large-Cap,20898876,NYQ
CRH,CRH PLC,Basic Materials,Large-Cap,4693704,NYQ
RACE,Ferrari N.V.,Consumer Cyclical,Large-Cap,608044,NYQ
URI,"United Rentals, Inc.",Industrials,Large-Cap,511969,NYQ
HONA,Honeywell Aerospace Inc.,Industrials,Large-Cap,2772951,NMS
DB,Deutsche Bank AG,Financial Services,Large-Cap,2597241,NYQ
AJG,Arthur J. Gallagher & Co.,Financial Services,Large-Cap,1798223,NYQ
RSG,"Republic Services, Inc.",Industrials,Large-Cap,1674401,NYQ
RELX,RELX PLC PLC,Industrials,Large-Cap,2743480,NYQ
NXPI,NXP Semiconductors N.V.,Technology,Large-Cap,4260284,NMS
APD,"Air Products and Chemicals, Inc",Basic Materials,Large-Cap,1297573,NYQ
AFL,AFLAC Incorporated,Financial Services,Nano-Cap,2397041,NYQ
TGT,Target Corporation,Consumer Defensive,Nano-Cap,4850026,NYQ
SE,Sea Limited,Consumer Cyclical,Large-Cap,4423768,NYQ
