ticker,name,sector,cap_tier,avg_volume,exchange
BHP,BHP Group Limited,Basic Materials,Large-Cap,3080472,NYQ
T,AT&T Inc.,Communication Services,Large-Cap,49423054,NYQ
HDB,HDFC Bank Limited,Financial Services,Large-Cap,4088433,NYQ
VZ,Verizon Communications Inc.,Communication Services,Large-Cap,28383417,NYQ
SPGI,S&P Global Inc.,Financial Services,Large-Cap,1545938,NYQ
TD,Toronto Dominion Bank (The),Financial Services,Large-Cap,2161232,NYQ
INTU,Intuit Inc.,Technology,Large-Cap,1862016,NMS
ANET,"Arista Networks, Inc.",Technology,Large-Cap,7466514,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Large-Cap,2941403,NYQ
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,6805462,NMS
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,8111474,NMS
COF,Capital One Financial Corporati,Financial Services,Large-Cap,4053183,NYQ
UBS,UBS Group AG Registered,Financial Services,Large-Cap,2005451,NYQ
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1379494,NYQ
ADI,"Analog Devices, Inc.",Technology,Large-Cap,3734861,NMS
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,63881211,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,4010606,NYQ
HON,Honeywell International Inc.,Industrials,Large-Cap,4344209,NMS
TTE,TotalEnergies SE,Energy,Large-Cap,1126672,NYQ
UL,Unilever PLC,Consumer Defensive,Large-Cap,2617497,NYQ
NOW,"ServiceNow, Inc.",Technology,Large-Cap,9026929,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,3313093,NYQ
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,1443338,NYQ
BSX,Boston Scientific Corporation,Healthcare,Large-Cap,9325895,NYQ
DE,Deere & Company,Industrials,Large-Cap,1408675,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,1717098,NYQ
UNP,Union Pacific Corporation,Industrials,Large-Cap,3043487,NYQ
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,2054688,NYQ
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1569511,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,2125382,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Large-Cap,5665453,NMS
WELL,Welltower Inc.,Real Estate,Large-Cap,3322432,NYQ
ADBE,Adobe Inc.,Technology,Large-Cap,4045379,NMS
ETN,"Eaton Corporation, PLC",Industrials,Large-Cap,2878214,NYQ
MDT,Medtronic plc.,Healthcare,Large-Cap,6777754,NYQ
COP,ConocoPhillips,Energy,Large-Cap,7322427,NYQ
NEM,Newmont Corporation,Basic Materials,Large-Cap,9868961,NYQ
