"first_saturday"
"2026-02-07"
"2026-03-07"
"2026-04-04"
"2026-05-02"
"2026-06-06"
"2026-07-04"
"2026-08-01"
"2026-09-05"
"2026-10-03"
"2026-11-07"
"2026-12-05"
"2027-01-02"
"2027-02-06"
"2027-03-06"
"2027-04-03"
"2027-05-01"
"2027-06-05"
"2027-07-03"
"2027-08-07"
"2027-09-04"
"2027-10-02"
"2027-11-06"
"2027-12-04"
"2028-01-01"
"2028-02-05"
"2028-03-04"
"2028-04-01"
"2028-05-06"
"2028-06-03"
"2028-07-01"
"2028-08-05"
"2028-09-02"
"2028-10-07"
"2028-11-04"
"2028-12-02"
"2029-01-06"
"2029-02-03"
"2029-03-03"
"2029-04-07"
"2029-05-05"
"2029-06-02"
"2029-07-07"
"2029-08-04"
"2029-09-01"
"2029-10-06"
"2029-11-03"
"2029-12-01"
"2030-01-05"
"2030-02-02"
"2030-03-02"
"2030-04-06"
"2030-05-04"
"2030-06-01"
"2030-07-06"
"2030-08-03"
"2030-09-07"
"2030-10-05"
"2030-11-02"
"2030-12-07"
"2031-01-04"
"2031-02-01"
"2031-03-01"
"2031-04-05"
"2031-05-03"
"2031-06-07"
"2031-07-05"
"2031-08-02"
"2031-09-06"
"2031-10-04"
"2031-11-01"
"2031-12-06"
"2032-01-03"
"2032-02-07"
"2032-03-06"
"2032-04-03"
"2032-05-01"
"2032-06-05"
"2032-07-03"
"2032-08-07"
"2032-09-04"
"2032-10-02"
"2032-11-06"
"2032-12-04"
"2033-01-01"
"2033-02-05"
"2033-03-05"
"2033-04-02"
"2033-05-07"
"2033-06-04"
"2033-07-02"
"2033-08-06"
"2033-09-03"
"2033-10-01"
"2033-11-05"
"2033-12-03"
"2034-01-07"
"2034-02-04"
"2034-03-04"
"2034-04-01"
"2034-05-06"
"2034-06-03"
"2034-07-01"
"2034-08-05"
"2034-09-02"
"2034-10-07"
"2034-11-04"
"2034-12-02"
"2035-01-06"
"2035-02-03"
"2035-03-03"
"2035-04-07"
"2035-05-05"
"2035-06-02"
"2035-07-07"
"2035-08-04"
"2035-09-01"
"2035-10-06"
"2035-11-03"
"2035-12-01"
"2036-01-05"
"2036-02-02"
